City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount isa,-20.7333,139.5,25.870000000000005,83,40,4.12,AU,2024-02-13
1,port-aux-francais,-49.35,70.2167,8.160000000000025,91,100,10.98,TF,2024-02-13
2,puerto ayora,-0.7393,-90.3518,26.420000000000016,100,78,2.24,EC,2024-02-13
3,albany,42.6001,-73.9662,0.4900000000000091,78,100,0.89,US,2024-02-13
4,hermanus,-34.4187,19.2345,23.78000000000003,71,39,5.14,ZA,2024-02-13
5,adamstown,-25.066,-130.1015,24.730000000000018,89,100,7.57,PN,2024-02-13
6,atafu village,-8.5421,-172.5159,27.03000000000003,84,100,12.34,TK,2024-02-13
7,al hayy,32.1735,46.0433,23.220000000000027,32,100,4.04,IQ,2024-02-13
8,flying fish cove,-10.4217,105.6791,25.82000000000005,88,5,1.54,CX,2024-02-13
9,ola,59.5833,151.2833,-26.279999999999973,97,72,2.93,RU,2024-02-13
10,longyearbyen,78.2186,15.6401,-9.089999999999975,79,0,4.12,SJ,2024-02-13
11,vrangel',42.7297,133.0839,1.400000000000034,71,0,3.67,RU,2024-02-13
12,bredasdorp,-34.5322,20.0403,28.5,34,25,7.56,ZA,2024-02-13
13,benjamin constant,-4.3831,-70.0311,26.07000000000005,88,0,2.06,BR,2024-02-13
14,yellowknife,62.456,-114.3525,-13.70999999999998,85,75,2.06,CA,2024-02-13
15,minas de marcona,-15.2119,-75.1103,23.760000000000048,64,47,1.36,PE,2024-02-13
16,san patricio,28.017,-97.5169,13.910000000000025,58,0,1.26,US,2024-02-13
17,kuta,-8.7233,115.1723,28.970000000000027,79,20,1.03,ID,2024-02-13
18,belaya kholunitsa,58.84,50.8528,-15.019999999999982,92,100,4.13,RU,2024-02-13
19,smithers,54.7804,-127.1743,-5.819999999999993,93,100,0.0,CA,2024-02-13
20,port alfred,-33.5906,26.891,22.879999999999995,80,100,4.02,ZA,2024-02-13
21,steffisburg,46.7781,7.6325,11.480000000000018,59,0,1.79,CH,2024-02-13
22,chernyshevskiy,63.0128,112.4714,-41.48999999999998,100,84,1.42,RU,2024-02-13
23,magadan,59.5667,150.8,-27.389999999999986,100,81,1.68,RU,2024-02-13
24,puerto aysen,-45.4,-72.7,19.74000000000001,50,100,1.02,CL,2024-02-13
25,marakkanam,12.2,79.95,25.77000000000004,80,1,5.36,IN,2024-02-13
26,morehead city,34.7229,-76.726,14.0,76,20,13.89,US,2024-02-13
27,ardestan,33.3761,52.3694,15.879999999999995,18,79,0.98,IR,2024-02-13
28,ushuaia,-54.8,-68.3,13.810000000000002,44,0,6.69,AR,2024-02-13
29,papatowai,-46.5619,169.4708,15.629999999999995,72,96,1.74,NZ,2024-02-13
30,grytviken,-54.2811,-36.5092,7.6200000000000045,88,100,3.19,GS,2024-02-13
31,west memphis,35.1465,-90.1845,1.2600000000000477,81,0,1.78,US,2024-02-13
32,bethel,41.3712,-73.414,0.20000000000004547,85,100,3.09,US,2024-02-13
33,vorgashor,67.5833,63.95,-31.379999999999967,97,11,2.97,RU,2024-02-13
34,zhangjiajie,29.1294,110.4783,16.04000000000002,84,99,1.4,CN,2024-02-13
35,kosh-agach,50.0,88.6667,-25.93999999999997,85,51,0.89,RU,2024-02-13
36,west island,-12.1568,96.8225,28.99000000000001,74,75,6.17,CC,2024-02-13
37,kodiak,57.79,-152.4072,3.730000000000018,93,100,12.86,US,2024-02-13
38,horta,38.5333,-28.6333,16.80000000000001,89,75,9.83,PT,2024-02-13
39,whitehorse,60.7161,-135.0538,-6.569999999999993,79,100,1.54,CA,2024-02-13
40,aasiaat,68.7098,-52.8699,-27.829999999999984,100,100,4.26,GL,2024-02-13
41,tiksi,71.6872,128.8694,-30.069999999999965,100,100,1.93,RU,2024-02-13
42,klyuchi,52.2667,79.1667,-9.269999999999982,82,100,5.4,RU,2024-02-13
43,changji,44.0167,87.3167,-6.560000000000002,79,0,1.0,CN,2024-02-13
44,punta cana,18.5818,-68.4043,26.870000000000005,74,20,4.63,DO,2024-02-13
45,san francisco de la paz,14.9,-86.2,22.840000000000032,76,80,1.67,HN,2024-02-13
46,talnakh,69.4865,88.3972,-33.73999999999998,86,14,1.57,RU,2024-02-13
47,yumbe,3.4651,31.2469,28.730000000000018,43,99,2.64,UG,2024-02-13
48,larkird,35.4894,66.6641,1.7300000000000182,63,0,2.79,AF,2024-02-13
49,uturoa,-16.7333,-151.4333,27.53000000000003,84,100,11.17,PF,2024-02-13
50,bembereke,10.2283,2.6634,38.93000000000001,6,4,2.41,BJ,2024-02-13
51,bilibino,68.0546,166.4372,-38.119999999999976,99,96,1.03,RU,2024-02-13
52,thompson,55.7435,-97.8558,-8.909999999999968,92,100,2.06,CA,2024-02-13
53,hamilton,39.1834,-84.5333,2.1000000000000227,73,0,3.58,US,2024-02-13
54,holualoa,19.6228,-155.9522,19.910000000000025,65,0,1.54,US,2024-02-13
55,hawaiian paradise park,19.5933,-154.9731,17.730000000000018,72,0,3.6,US,2024-02-13
56,westerland,54.9079,8.3033,7.230000000000018,87,40,6.69,DE,2024-02-13
57,waitangi,-43.9535,-176.5597,13.230000000000018,82,9,4.92,NZ,2024-02-13
58,iqaluit,63.7506,-68.5145,-21.149999999999977,71,100,0.0,CA,2024-02-13
59,morondava,-20.2833,44.2833,27.730000000000018,79,100,2.45,MG,2024-02-13
60,puerto natales,-51.7236,-72.4875,18.25,59,100,6.17,CL,2024-02-13
61,sitka,57.0531,-135.33,0.9399999999999977,86,0,0.0,US,2024-02-13
62,susuman,62.7833,148.1667,-40.00999999999999,100,95,0.45,RU,2024-02-13
63,enewetak,11.3474,162.3373,26.370000000000005,70,9,9.02,MH,2024-02-13
64,myeik,12.4333,98.6,25.200000000000045,72,24,2.16,MM,2024-02-13
